state,dialog
119,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A I I T T I T I T I 200 I 200 I 200 I 200 A A A A B B B 200 B 200 U U U 200 U 200 B B B 200 B 200
120,I T I T I 500 A I T I T S S S P P P P P 200 S S P 200 P 200 P 200 S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
121,I T I T I 486 A I 486 A
122,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C C 200 C C 200 I 487 A I 487 A C 200 I 487 A I 487 A
123,I T I T I 500 A I T I T S S S P P P P P 200 S P 200 S P 200 P 200 S P P P P P 200 P 200 P 200 P 200 I 480 A I 480 A I 480 A
124,I T I T I 500 A I T I T R R R P P P P 200 P 200 P 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A
125,I T I T I 500 A I T I T R R R P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 R R P 200 P 200 R P P I 200 P I 200 P P 200 I 200 P 200 P 200 P 200 A A A A I T I T I I 200 I 200 I 200 A A A I T I T I I 200 I 200 I 200 A A A I T I T I I 200 I 200 I 200 A A A I T I T I I 200 I 200 I 200 A A A I T I T I I 200 I 200 I 200 A A A I T I T I I 200 I 200 I 200 A A A U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
126,I I T T I 500 A I T I T I 500 A I T I T I T R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 I 200 A A A A A U U U 200 U 200 U 200 U 200 B B B B B 200 B 200 B 200 B 200
127,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U 200 U U 200 U 200 U 200 B B B B B 200 B 200 B 200 B 200
128,I I T T I 500 A I T I T I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
129,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U 200 U 200 U 200 U 200 U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
130,I T I 407 A I T I T I 500 A I T I T S S S P P P P 200 R R P 200 P 200 R R R P P P P 200 P 200 R P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
131,I T I T I 500 A I T I T S S S P P P P P 200 S P 200 S P 200 S P 200 P P P P P 200 S P 200 S P 200 P 200 S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
132,I T I 407 A I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 S P 200 S P 200 P 200 S C C C 200 C C 200 C 200 I 487 A I 487 A I 487 A
133,I I T T I 500 A I T I T R R R P P P P 200 P 200 P 200 C C C 200 C C 200 I 487 C 200 A I 487 A I 487 A
134,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U U 200 U 200 U 200 B B B B B 200 B 200 B 200 B 200
135,I T I 407 A I I T T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 S S S P P P P P 200 P 200 P 200 P 200 R R R I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
